Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
Preprocess,3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,88,3,0,96.703297,3.296703,0,0.935062,0.021978,0.14825,6.451613,35.819507,111.733776,3222,-3110.266224,1.227844,35.406593,-34.17875,101.85019,1.119233,91.154344,1,57,0.029412,1,0.970588,33,0,0,0.982759,1,0.991304,0.976654,0.985294,0.982759,0.967033,0.023974,0.976026,0.032967,0.965391,0.967033,0.965813,0.950843,0.971529,0.941445,0.907833,0.967033,0.003,0,0.015625,0,15.625,0,14600,124051,21685,96.703297,33.333333,'Number of leaves: 11\nSize of the tree: 21\n',21,11,11
Preprocess,3,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,90,1,0,98.901099,1.098901,0,0.97839,0.012053,0.085703,3.561874,20.863099,110.586637,6.916435,103.670202,1.215238,0.076005,1.139233,107.314847,1.179284,97.041424,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.989011,0.000916,0.999084,0.010989,0.990385,0.989011,0.98927,0.986923,0.998443,0.987332,0.971242,0.989011,0.003,0,0,0,0,0,13388,124051,21685,98.901099,35.531136,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8
Preprocess,3,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,90,1,0,98.901099,1.098901,0,0.978025,0.008084,0.085668,2.388921,20.854758,110.586637,1074.150546,-963.563909,1.215238,11.803852,-10.588614,106.639373,1.171861,96.430614,1,58,0.030303,1,0.969697,32,0,0,0.983051,1,0.991453,0.976351,0.984848,0.983051,0.989011,0.019314,0.980686,0.010989,0.989197,0.989011,0.988635,0.978801,0.984848,0.979054,0.97151,0.989011,0.002,0,0,0,0,0,13792,124051,21685,98.901099,33.333333,'Number of leaves: 9\nSize of the tree: 17\n',17,9,9
Preprocess,3,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,90,1,0,98.901099,1.098901,0,0.978553,0.008767,0.085799,2.590853,20.886521,110.586637,1074.288566,-963.701929,1.215238,11.805369,-10.590131,108.190297,1.188904,97.833066,0.982759,57,0,0,1,33,0.017241,1,1,0.982759,0.991304,0.976654,0.989812,0.993748,0.989011,0.000916,0.999084,0.010989,0.990385,0.989011,0.98933,0.979723,0.992656,0.982279,0.974879,0.989011,0.002,0,0,0,0,0,14196,124051,21685,98.901099,33.333333,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
Preprocess,3,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,89,2,0,97.802198,2.197802,0,0.956584,0.013276,0.095651,3.923252,23.284962,110.586637,9.295185,101.291452,1.215238,0.102145,1.113093,105.333966,1.157516,95.250176,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.978022,0.005311,0.994689,0.021978,0.978022,0.978022,0.978022,0.972711,0.995952,0.980369,0.93956,0.978022,0.003,0,0.015625,0,15.625,0,14196,124051,21685,98.901099,33.699634,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
Preprocess,3,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,89,2,0,97.802198,2.197802,0,0.95625,0.016461,0.11794,4.864652,28.710762,110.586637,1080.318839,-969.732202,1.215238,11.871636,-10.656398,104.139172,1.144387,94.169761,1,58,0.030303,1,0.969697,32,0,0,0.983051,1,0.991453,0.976351,0.999739,0.999708,0.978022,0.02023,0.97977,0.021978,0.978208,0.978022,0.977961,0.965343,0.993036,0.977665,0.942996,0.978022,0.001,0,0,0,0,0,13388,124051,21685,97.802198,34.065934,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8
Preprocess,3,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,89,2,0,97.802198,2.197802,0,0.956913,0.015952,0.11974,4.714024,29.148891,110.586637,1080.238031,-969.651394,1.215238,11.870748,-10.65551,104.42177,1.147492,94.425306,0.982759,57,0,0,1,33,0.017241,1,1,0.982759,0.991304,0.976654,0.998433,0.998384,0.978022,0.005311,0.994689,0.021978,0.978429,0.978022,0.978078,0.96571,0.990851,0.968825,0.943193,0.978022,0.002,0,0,0,0,0,13388,124051,21685,97.802198,33.333333,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8
Preprocess,3,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,88,3,0,96.703297,3.296703,0,0.935946,0.022878,0.143597,6.76075,34.956726,110.586637,3222.178746,-3111.592109,1.215238,35.408558,-34.19332,103.727132,1.139859,93.797167,0.982759,57,0,0,1,33,0.017241,1,1,0.982759,0.991304,0.976654,0.991118,0.993748,0.967033,0.006227,0.993773,0.032967,0.971477,0.967033,0.968036,0.951976,0.979053,0.960152,0.935827,0.967033,0.002,0,0,0,0,0,14600,124051,21685,96.703297,33.699634,'Number of leaves: 11\nSize of the tree: 21\n',21,11,11
Preprocess,3,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,818,90,90,0,0,100,0,0,1,0.00091,0.003995,0.268086,0.969492,109.929783,0.178746,109.751037,1.221442,0.001986,1.219456,109.751037,1.219456,99.8374,1,57,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.002,0,0,0,0,0,13792,124192,21544,100,33.333333,'Number of leaves: 9\nSize of the tree: 17\n',17,9,9
Preprocess,3,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,818,90,88,2,0,97.777778,2.222222,0,0.957214,0.015694,0.114281,4.624975,27.733958,109.929783,2148.172634,-2038.242852,1.221442,23.868585,-22.647143,105.540111,1.172668,96.006841,0.964912,55,0,0,1,33,0.035088,2,1,0.964912,0.982143,0.953821,0.982456,0.987135,0.977778,0.005451,0.994549,0.022222,0.979578,0.977778,0.978055,0.957667,0.98842,0.98213,0.965536,0.977778,0.002,0,0.015625,0,15.625,0,13792,124192,21544,97.777778,33.703704,'Number of leaves: 9\nSize of the tree: 17\n',17,9,9
Preprocess,4,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,88,3,0,96.703297,3.296703,0,0.935659,0.020391,0.126865,6.025803,30.883587,110.586637,1081.350894,-970.764257,1.215238,11.882977,-10.667739,103.262389,1.134752,93.376915,0.982759,57,0,0,1,33,0.017241,1,1,0.982759,0.991304,0.976654,0.998433,0.998384,0.967033,0.006227,0.993773,0.032967,0.96978,0.967033,0.968084,0.953135,0.990701,0.968434,0.917614,0.967033,0.002,0,0,0,0,0,14196,124051,21685,97.802198,33.699634,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
Preprocess,4,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,90,1,0,98.901099,1.098901,0,0.978193,0.009,0.086168,2.659541,20.976382,110.586637,1074.343191,-963.756554,1.215238,11.805969,-10.590731,106.446728,1.169744,96.256411,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.989011,0.004396,0.995604,0.010989,0.989418,0.989011,0.988692,0.986368,0.992242,0.979274,0.96807,0.989011,0.002,0,0,0,0,0,13792,124051,21685,98.901099,34.065934,'Number of leaves: 9\nSize of the tree: 17\n',17,9,9
Preprocess,4,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,90,1,0,98.901099,1.098901,0,0.978553,0.009559,0.077669,2.824756,18.90745,110.586637,1074.449282,-963.862646,1.215238,11.807135,-10.591897,108.029581,1.187138,97.687735,0.982759,57,0,0,1,33,0.017241,1,1,0.982759,0.991304,0.976654,0.989551,0.993748,0.989011,0.000916,0.999084,0.010989,0.990385,0.989011,0.98933,0.979723,0.99334,0.996015,0.974879,0.989011,0.002,0,0,0,0,0,13388,124051,21685,98.901099,34.065934,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8
Preprocess,4,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,91,0,0,100,0,0,1,0.000758,0.003615,0.223961,0.879966,110.586637,0.150546,110.436091,1.215238,0.001654,1.213583,110.436091,1.213583,99.863866,1,58,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.002,0,0,0,0,0,13792,124051,21685,100,33.333333,'Number of leaves: 9\nSize of the tree: 17\n',17,9,9
Preprocess,4,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,88,3,0,96.703297,3.296703,0,0.935659,0.025861,0.151088,7.642425,36.780137,110.586637,3222.873528,-3112.286892,1.215238,35.416193,-34.200955,101.522124,1.115628,91.803248,0.982759,57,0,0,1,33,0.017241,1,1,0.982759,0.991304,0.976654,0.989812,0.993748,0.967033,0.006227,0.993773,0.032967,0.96978,0.967033,0.968084,0.953135,0.978027,0.950972,0.917614,0.967033,0.002,0,0,0,0,0,13792,124051,21685,96.703297,33.699634,'Number of leaves: 9\nSize of the tree: 17\n',17,9,9
Preprocess,4,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,89,2,0,97.802198,2.197802,0,0.957297,0.016606,0.12185,4.907241,29.66261,110.586637,2148.412902,-2037.826265,1.215238,23.608933,-22.393695,105.779469,1.162412,95.65303,0.982759,57,0,0,1,33,0.017241,1,1,0.982759,0.991304,0.976654,0.991379,0.993748,0.978022,0.001832,0.998168,0.021978,0.982906,0.978022,0.97924,0.967546,0.987926,0.971072,0.948899,0.978022,0.002,0,0,0,0,0,13388,124051,21685,97.802198,34.798535,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8
Preprocess,4,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,89,2,0,97.802198,2.197802,0,0.956584,0.01541,0.121099,4.55388,29.479951,110.586637,2148.150546,-2037.563909,1.215238,23.60605,-22.390812,104.35288,1.146735,94.363011,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.978022,0.005311,0.994689,0.021978,0.978022,0.978022,0.978022,0.972711,0.985456,0.962021,0.93956,0.978022,0.002,0,0,0,0,0,15004,124051,21685,97.802198,33.333333,'Number of leaves: 12\nSize of the tree: 23\n',23,12,12
Preprocess,4,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,89,2,0,97.802198,2.197802,0,0.956913,0.016551,0.116127,4.85854,28.058168,111.733776,1078.481211,-966.747434,1.227844,11.851442,-10.623598,105.258807,1.15669,94.205002,1,57,0.029412,1,0.970588,33,0,0,0.982759,1,0.991304,0.976654,0.999742,0.999698,0.978022,0.019339,0.980661,0.021978,0.978211,0.978022,0.977966,0.965678,0.992676,0.980221,0.943193,0.978022,0.002,0,0,0,0,0,13388,124051,21685,98.901099,34.798535,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8
